timestamp,clase,confianza,x1,y1,x2,y2
2025-11-29 16:54:33,teclado,0.81,1,4,638,221
2025-11-29 16:54:34,teclado,0.81,1,4,638,221
2025-11-29 16:54:34,teclado,0.81,1,4,638,221
2025-11-29 16:54:34,teclado,0.81,1,4,638,221
2025-11-29 16:54:34,teclado,0.81,1,4,638,221
2025-11-29 16:54:34,teclado,0.81,1,4,638,221
2025-11-29 16:54:34,teclado,0.81,1,4,638,221
2025-11-29 17:16:36,teclado,0.72,1,149,310,639
2025-11-29 17:16:36,teclado,0.72,1,149,310,639
2025-11-29 17:16:37,teclado,0.72,1,149,310,639
2025-11-29 17:16:38,teclado,0.72,1,149,310,639
2025-11-29 17:16:39,teclado,0.72,1,149,310,639
2025-11-29 17:16:39,teclado,0.72,1,149,310,639
2025-11-29 17:16:40,teclado,0.72,1,149,310,639
2025-11-29 17:16:41,teclado,0.72,1,149,310,639
2025-11-29 17:16:42,teclado,0.72,1,149,310,639
2025-11-29 17:16:43,teclado,0.72,1,149,310,639
2025-11-29 17:16:44,teclado,0.72,1,149,310,639
2025-11-29 17:16:45,teclado,0.72,1,149,310,639
2025-11-29 17:16:45,teclado,0.72,1,149,310,639
2025-11-29 17:16:46,teclado,0.72,1,149,310,639
2025-11-29 17:16:47,teclado,0.72,1,149,310,639
2025-11-29 17:16:48,teclado,0.72,1,149,310,639
2025-11-29 17:16:49,teclado,0.72,1,149,310,639
2025-11-29 17:16:49,teclado,0.72,1,149,310,639
2025-11-29 17:16:50,teclado,0.72,1,149,310,639
2025-11-29 17:16:51,teclado,0.72,1,149,310,639
2025-11-29 17:16:51,teclado,0.72,1,149,310,639
2025-11-29 17:16:52,teclado,0.72,1,149,310,639
2025-11-29 17:16:53,teclado,0.72,1,149,310,639
2025-11-29 17:16:54,teclado,0.72,1,149,310,639
2025-11-29 17:16:54,teclado,0.72,1,149,310,639
2025-11-29 17:16:55,teclado,0.72,1,149,310,639
2025-11-29 17:16:56,teclado,0.72,1,149,310,639
2025-11-29 17:16:57,teclado,0.72,1,149,310,639
2025-11-29 17:16:57,teclado,0.72,1,149,310,639
2025-11-29 17:16:58,teclado,0.72,1,149,310,639
2025-11-29 17:16:59,teclado,0.72,1,149,310,639
2025-11-29 17:17:00,teclado,0.72,1,149,310,639
2025-11-29 17:17:00,teclado,0.72,1,149,310,639
2025-11-29 17:17:01,teclado,0.72,1,149,310,639
2025-11-29 17:17:02,teclado,0.72,1,149,310,639
2025-11-29 17:17:03,teclado,0.72,1,149,310,639
2025-11-29 17:17:03,teclado,0.72,1,149,310,639
2025-11-29 17:17:04,teclado,0.72,1,149,310,639
2025-11-29 17:17:05,teclado,0.72,1,149,310,639
2025-11-29 17:17:06,teclado,0.72,1,149,310,639
2025-11-29 17:17:07,teclado,0.72,1,149,310,639
2025-11-29 17:17:08,teclado,0.72,1,149,310,639
2025-11-29 17:17:08,teclado,0.72,1,149,310,639
2025-11-29 17:17:09,teclado,0.72,1,149,310,639
2025-11-29 17:17:10,teclado,0.72,1,149,310,639
2025-11-29 17:17:11,teclado,0.72,1,149,310,639
2025-11-29 17:17:12,teclado,0.72,1,149,310,639
2025-11-29 17:17:13,teclado,0.72,1,149,310,639
2025-11-29 17:17:14,teclado,0.72,1,149,310,639
2025-11-29 17:17:14,teclado,0.72,1,149,310,639
2025-11-29 17:17:15,teclado,0.72,1,149,310,639
2025-11-29 17:17:16,teclado,0.72,1,149,310,639
2025-11-29 17:17:17,teclado,0.72,1,149,310,639
2025-11-29 17:17:18,teclado,0.72,1,149,310,639
